,over_under_line,offensive_defensive_rank_diff,offensive_offensive_rank_dif,offense_defense_passing_completion,offense_rushing_vs_defense_rushing_allowed_yards,defense_offense_rank_dif,QB_rating,beat_spread,target_spread
0,51.0,8,2,-0.0014158144096686474,0.9646832485914526,-5,101.9,0,-7.0
1,41.0,-8,-14,-0.05587573682741409,1.1000128057369702,1,76.3,0,-7.5
2,45.5,-15,-21,0.030268447865619438,0.9093344047140752,-16,94.5,0,-4.0
3,48.5,-18,-24,-0.10266321668612544,1.1998527788001472,-8,74.1,0,-1.0
4,41.5,2,-4,0.01895385651026049,1.2337035248672141,2,95.4,1,-3.5
5,48.5,4,-2,0.028274469237968614,1.0171306209850106,3,104.1,0,-1.0
6,45.0,4,-2,0.028274469237968614,1.0171306209850106,3,104.1,1,3.0
7,47.0,-19,-25,-0.0528678446846228,1.058864265927978,-24,84.0,0,13.0
8,51.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,7.0
9,48.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,1.0
10,45.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,4.0
11,41.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,3.5
12,46.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,3.0
13,48.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,1.0
14,47.5,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,-11.5
15,47.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,-13.0
16,45.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,0,-3.0
17,41.0,6,0,0.030335610085167275,1.169289202387412,-6,91.2,1,7.5
18,47.5,-14,-20,-0.020246401130442404,1.0155283770784664,-19,79.4,1,11.5
19,46.5,7,1,0.05874004212068496,1.1936842105263157,4,109.8,1,-3.0
20,49.0,28,11,-0.008568749745220372,0.990755768823654,4,101.9,1,-14.0
21,45.0,9,-8,-0.10726150532289468,0.9911818598259275,6,85.3,1,-6.0
22,49.0,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,14.0
23,43.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,1,4.0
24,41.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,1.0
25,42.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,1,8.0
26,47.0,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,1,5.0
27,43.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,3.0
28,53.5,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,2.5
29,45.0,17,0,-0.09724158323828837,1.1245991754466331,-17,88.1,0,6.0
30,42.5,20,3,-0.07486839870945837,1.1269305019305018,5,88.0,0,-8.0
31,41.5,11,-6,-0.09981308411214962,1.2842292842292842,-12,84.2,1,-1.0
32,53.5,23,6,0.06454465075154725,1.015045271972224,-18,100.6,1,-2.5
33,43.5,7,-10,-0.114742554160971,0.9814359814359814,-11,77.5,0,-4.0
34,47.0,6,-11,-0.02726445152480661,1.042975089972479,-10,79.4,0,-5.0
35,43.5,3,-14,-0.041909814323607415,1.08180957237561,-13,85.5,0,-3.0
36,47.5,6,8,0.12541078207344716,1.0182767624020888,1,101.9,0,-7.0
37,41.0,-3,-1,0.11160224458446956,1.3272211307574766,-4,95.6,1,3.0
38,41.0,-22,-20,0.10839075890096296,1.286764705882353,-5,76.6,1,3.5
39,40.0,-13,-11,0.013380935111177994,1.0187146892655368,3,85.3,1,4.0
40,46.0,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,1,6.0
41,42.5,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,1,-2.5
42,47.5,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,0,7.0
43,44.0,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,0,-3.0
44,40.0,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,0,-4.0
45,46.0,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,1,-2.5
46,41.0,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,0,-3.5
47,41.0,-2,0,0.050151564883285316,1.1582341269841268,2,88.0,0,-3.0
48,44.0,-8,-6,0.08027371515312143,1.0938438438438438,-11,91.0,1,3.0
49,46.0,3,5,0.10249942673698677,1.1090432864626414,-19,94.5,0,2.5
50,46.0,-15,-13,0.0048889161018665925,1.0086980920314257,-14,77.5,0,-6.0
51,42.5,-18,-16,0.08766684516372125,1.2080103359173129,-8,88.9,0,2.5
52,51.5,16,24,-0.005369066545537149,0.91644908616188,17,101.9,1,-8.0
53,44.0,7,15,-0.0175729646697389,1.194499017681729,12,95.6,1,-4.0
54,42.0,5,13,-0.0943280771946341,1.0402542372881356,-4,88.1,1,6.0
55,43.5,8,16,-0.07188268684957433,1.0424107142857142,18,88.0,1,-4.5
56,47.0,-7,1,0.0261897622617262,0.8638676844783715,6,94.5,1,-1.0
57,45.5,9,17,0.07702445302445304,0.9125874125874126,10,102.0,0,4.0
58,49.5,6,14,0.006695711992662279,0.9858597285067874,-1,85.6,0,-6.0
59,45.5,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,1,-4.0
60,42.0,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,0,-6.0
61,43.5,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,1,2.5
62,51.5,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,0,8.0
63,44.0,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,0,4.0
64,49.5,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,1,6.0
65,43.5,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,0,4.5
66,47.0,-8,0,-0.03872691933916428,1.087209302325581,8,88.9,0,1.0
67,43.5,-9,-1,-0.03881773399014776,1.0006738544474394,0,85.5,0,-2.5
68,51.5,14,7,0.026937206398821575,0.7637075718015667,0,101.9,1,-13.5
69,43.5,-6,-13,0.021075714856704453,0.8253205128205129,-10,89.7,0,-4.0
