,Year,week,date,home,away,home_spread,away_spread,home_score,away_score
0,2020,1,9/10/20,Chiefs,Texans,-9.0,9.0,34.0,20.0
2,2020,1,9/13/20,Falcons,Seahawks,-1.0,1.0,25.0,38.0
4,2020,1,9/13/20,Bills,Jets,-6.5,6.5,27.0,17.0
6,2020,1,9/13/20,Lions,Bears,-2.0,2.0,23.0,27.0
8,2020,1,9/13/20,Vikings,Packers,-1.5,1.5,34.0,43.0
10,2020,1,9/13/20,Patriots,Dolphins,-7.0,7.0,21.0,11.0
12,2020,1,9/13/20,Redskins,Eagles,5.5,-5.5,27.0,17.0
14,2020,1,9/13/20,Panthers,Raiders,3.0,-3.0,30.0,34.0
16,2020,1,9/13/20,Jaguars,Colts,7.0,-7.0,27.0,20.0
18,2020,1,9/13/20,Ravens,Browns,-7.0,7.0,38.0,6.0
20,2020,1,9/13/20,Bengals,Chargers,2.5,-2.5,13.0,16.0
22,2020,1,9/13/20,Saints,Buccaneers,-4.0,4.0,34.0,23.0
24,2020,1,9/13/20,49ers,Cardinals,-6.5,6.5,20.0,24.0
26,2020,1,9/13/20,Rams,Cowboys,-1.0,1.0,20.0,17.0
28,2020,1,9/14/20,Giants,Steelers,6.0,-6.0,16.0,26.0
30,2020,1,9/14/20,Broncos,Titans,3.0,-3.0,14.0,16.0
32,2020,2,9/17/20,Browns,Bengals,-5.5,5.5,35.0,30.0
34,2020,2,9/20/20,Bears,Giants,-4.5,4.5,17.0,13.0
36,2020,2,9/20/20,Cowboys,Falcons,-3.0,3.0,40.0,39.0
38,2020,2,9/20/20,Packers,Lions,-6.5,6.5,42.0,21.0
40,2020,2,9/20/20,Titans,Jaguars,-7.0,7.0,33.0,30.0
42,2020,2,9/20/20,Colts,Vikings,-3.0,3.0,28.0,11.0
44,2020,2,9/20/20,Dolphins,Bills,5.5,-5.5,28.0,31.0
46,2020,2,9/20/20,Jets,49ers,7.0,-7.0,13.0,31.0
