Year,Rank,team,games_played,rushing_attempts,rushing_yards_gained,rushing_touchdowns,longest_rushing_attempt,Y/A,Y/G,Fmb,EXP
2020,1,Cleveland Browns,5,172,942,8,50,5.5,188.4,5,22.40
2020,2,Baltimore Ravens,5,144,804,5,50,5.6,160.8,5,21.34
2020,3,Minnesota Vikings,5,154,803,8,39,5.2,160.6,4,18.24
2020,4,New England Patriots,4,140,719,7,48,5.1,179.8,3,31.06
2020,5,Arizona Cardinals,5,148,705,8,48,4.8,141.0,5,23.33
2020,6,Los Angeles Rams,5,169,698,9,46,4.1,139.6,7,11.40
2020,7,San Francisco 49ers,5,128,645,8,80,5.0,129.0,5,7.51
2020,8,Los Angeles Chargers,5,161,612,3,36,3.8,122.4,7,-13.49
2020,9,Las Vegas Raiders,5,146,605,6,43,4.1,121.0,9,-0.75
2020,10,Green Bay Packers,4,119,603,4,75,5.1,150.8,1,7.18
2020,11,Kansas City Chiefs,5,132,597,4,27,4.5,119.4,3,2.23
2020,12,Carolina Panthers,5,137,589,6,25,4.3,117.8,3,9.29
2020,13,Seattle Seahawks,5,118,577,4,29,4.9,115.4,4,7.19
2020,14,New Orleans Saints,5,140,575,8,49,4.1,115.0,6,3.58
2020,15,Atlanta Falcons,5,130,573,6,35,4.4,114.6,3,11.64
2020,16,Pittsburgh Steelers,4,122,555,4,59,4.5,138.8,7,-6.07
2020,17,Philadelphia Eagles,5,123,540,6,74,4.4,108.0,8,12.50
2020,18,Dallas Cowboys,5,126,533,9,24,4.2,106.6,8,19.65
2020,19,Indianapolis Colts,5,149,529,4,22,3.6,105.8,1,-13.80
2020,20,Tennessee Titans,4,136,526,5,23,3.9,131.5,2,3.70
2020,21,Miami Dolphins,5,140,521,6,29,3.7,104.2,4,-2.38
2020,22,New York Jets,5,125,517,2,46,4.1,103.4,1,-0.38
2020,23,Cincinnati Bengals,5,132,513,3,34,3.9,102.6,7,-8.15
2020,24,Tampa Bay Buccaneers,5,120,497,4,46,4.1,99.4,6,-1.69
2020,25,Jacksonville Jaguars,5,107,492,3,39,4.6,98.4,5,8.85
2020,26,Chicago Bears,5,115,477,1,45,4.1,95.4,5,2.48
2020,27,Buffalo Bills,5,122,469,4,34,3.8,93.8,6,-9.31
2020,28,Houston Texans,5,102,423,3,29,4.1,84.6,5,-1.46
2020,29,Detroit Lions,4,99,407,3,27,4.1,101.8,0,2.73
2020,30,Washington Football Team,5,117,407,7,22,3.5,81.4,11,2.22
2020,31,New York Giants,5,105,395,3,26,3.8,79.0,7,-6.81
2020,32,Denver Broncos,4,98,370,3,43,3.8,92.5,,
2019,1,Baltimore Ravens,16,596,3296,21,63,5.5,206.0,18,100.56
2019,2,San Francisco 49ers,16,498,2305,23,83,4.6,144.1,19,4.93
2019,3,Tennessee Titans,16,445,2223,21,74,5.0,138.9,21,29.93
2019,4,Seattle Seahawks,16,481,2200,15,59,4.6,137.5,26,-32.78
2019,5,Dallas Cowboys,16,449,2153,18,44,4.8,134.6,15,37.08
2019,6,Minnesota Vikings,16,476,2133,19,75,4.5,133.3,29,-16.29
2019,7,Indianapolis Colts,16,471,2130,17,63,4.5,133.1,18,29.24
2019,8,Buffalo Bills,16,465,2054,13,41,4.4,128.4,23,1.29
2019,9,Houston Texans,16,434,2009,17,58,4.6,125.6,20,18.04
2019,10,Arizona Cardinals,16,396,1990,18,80,5.0,124.4,9,35.92
2019,11,Philadelphia Eagles,16,454,1939,16,65,4.3,121.2,31,-10.75
2019,12,Cleveland Browns,16,393,1901,15,88,4.8,118.8,14,-8.57
2019,13,Oakland Raiders,16,437,1893,13,60,4.3,118.3,21,-21.10
2019,14,Carolina Panthers,16,386,1819,20,84,4.7,113.7,25,-8.21
2019,15,Green Bay Packers,16,411,1795,18,56,4.4,112.2,15,0.63
2019,16,New Orleans Saints,16,405,1738,12,40,4.3,108.6,9,-7.51
2019,17,Jacksonville Jaguars,16,389,1708,3,81,4.4,106.8,21,-35.26
2019,18,New England Patriots,16,447,1703,17,33,3.8,106.4,13,-32.19
2019,19,New York Giants,16,362,1685,11,68,4.7,105.3,31,-5.58
2019,20,Denver Broncos,16,409,1662,11,40,4.1,103.9,21,-17.20
2019,21,Detroit Lions,16,407,1649,7,44,4.1,103.1,12,-28.67
2019,22,Washington Redskins,16,356,1583,9,65,4.4,98.9,21,-26.82
2019,23,Kansas City Chiefs,16,375,1569,16,91,4.2,98.1,20,18.11
2019,24,Tampa Bay Buccaneers,16,409,1521,15,49,3.7,95.1,23,-43.82
2019,25,Cincinnati Bengals,16,385,1517,9,41,3.9,94.8,25,-25.52
