,schedule_date,schedule_season,schedule_week,target,target_score,opponent_score,opponent,target_spread,opponent_spread,target_games_played,opponent_games_played,target_off_points_scored,opponent_off_points_scored,target_def_points_against,opponent_def_points_against,Won_game,won_spread,lost_game,lost_spread,win_percent,win_spread_percent,opponent_win_percentage,opponent_spread_percentage,target_favorite,target_off_points_game,opponent_off_points_game,target_def_points_against_game,opponent_def_points_against_game,target_score_spread_adj,beat_spread,off_spread_impactor,def_spread_impactor,win_percent_SI,win_spread_percent_SI,off_points_SI,def_points_SI
2770,10/29/2020,2020,8,Atlanta Falcons,,,Carolina Panthers,3.5,-3.5,7.0,7.0,184.0,162.0,207.0,168.0,,,,,0.142857143,0.285714286,0.428571429,0.571428571,0,26.285714285714285,23.142857142857142,29.571428571428573,24.0,,0,146.5,146.5,0.0022753128555176336,0.0034129692892491464,0.7752917878060085,0.8410531448074111
2771,10/29/2020,2020,8,Carolina Panthers,,,Atlanta Falcons,-3.5,3.5,7.0,7.0,162.0,184.0,168.0,207.0,,,,,0.428571429,0.571428571,0.142857143,0.285714286,1,23.142857142857142,26.285714285714285,24.0,29.571428571428573,,0,153.5,153.5,0.019543973941368076,0.01302931593811075,0.5735731482792805,0.528725865080489
2772,11/1/2020,2020,8,Indianapolis Colts,,,Detroit Lions,-3.5,3.5,6.0,6.0,157.0,156.0,115.0,165.0,,,,,0.666666667,0.5,0.5,0.5,1,26.166666666666668,26.0,19.166666666666668,27.5,,0,153.5,153.5,0.00868621064495114,0.006514657980456026,0.6556418608535872,0.4540519198499655
2773,11/1/2020,2020,8,Detroit Lions,,,Indianapolis Colts,3.5,-3.5,6.0,6.0,156.0,157.0,165.0,115.0,,,,,0.5,0.5,0.666666667,0.5,0,26.0,26.166666666666668,27.5,19.166666666666668,,0,146.5,146.5,0.005119453922354949,0.006825938566552901,0.6782461250842373,0.9793737943315032
2774,11/1/2020,2020,8,Los Angeles Rams,,,Miami Dolphins,-3.5,3.5,7.0,6.0,176.0,160.0,124.0,113.0,,,,,0.714285714,0.571428571,0.5,0.666666667,1,25.142857142857142,26.666666666666668,17.714285714285715,18.833333333333332,,0,153.5,153.5,0.00930665425407166,0.005583992547696604,0.6142391810144253,0.6127567051149537
2775,11/1/2020,2020,8,Miami Dolphins,,,Los Angeles Rams,3.5,-3.5,6.0,7.0,160.0,176.0,113.0,124.0,,,,,0.5,0.666666667,0.714285714,0.571428571,0,26.666666666666668,25.142857142857142,18.833333333333332,17.714285714285715,,0,146.5,146.5,0.004778156998498294,0.007963595004266211,0.7239631813010653,0.7257147051267936
2776,11/1/2020,2020,8,Oakland Raiders,,,Cleveland Browns,2.5,-2.5,6.0,7.0,171.0,200.0,197.0,221.0,,,,,0.5,0.5,0.714285714,0.428571429,0,28.5,28.571428571428573,32.833333333333336,31.571428571428573,,0,147.5,147.5,0.004745762713762713,0.007909604511864407,0.6762711864406779,0.7050642942965974
2777,11/1/2020,2020,8,Cleveland Browns,,,Oakland Raiders,-2.5,2.5,7.0,6.0,200.0,171.0,221.0,197.0,,,,,0.714285714,0.428571429,0.5,0.5,1,28.571428571428573,28.5,31.571428571428573,32.833333333333336,,0,152.5,152.5,0.009367681495081966,0.005620608904918033,0.6573811578125641,0.6305353130683912
2778,11/1/2020,2020,8,Minnesota Vikings,,,Green Bay Packers,6.5,-6.5,6.0,6.0,155.0,197.0,192.0,159.0,,,,,0.166666667,0.5,0.833333333,0.833333333,0,25.833333333333332,32.833333333333336,32.0,26.5,,0,143.5,143.5,0.0013937282263414635,0.004181184670662021,0.5482940978793398,0.841496285582802
2779,11/1/2020,2020,8,Green Bay Packers,,,Minnesota Vikings,-6.5,6.5,6.0,6.0,197.0,155.0,159.0,192.0,,,,,0.833333333,0.833333333,0.166666667,0.5,1,32.833333333333336,25.833333333333332,26.5,32.0,,0,156.5,156.5,0.03194888171246007,0.010649627258785942,0.812119962898073,0.5291533546325878
